CODIGO,NATUREZA_OCORRENCIA,FORMA,MUNICIPIO,BAIRRO,TIPO_LOCAL_FATO,DATA_FATO,HORA_FATO,NOME_MEIO_EMPREGADO,SEXO,NUMR_IDADE_ESTIMADA,DESC_GRAU_INSTRUCAO,NARRATIVA,PERIODO
16,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-03-26 00:00:00.000,1970-01-01 05:30:00,OUTRO(S),FEMININO,29.0,2º GRAU INCOMPLETO,citado informando que  conta caixa tem  agência  30  conta poupança  9  produto operação 1288  hackeada levado todos benefícios valor 69000 reais  comunicante disse ficou sabendo 0532 horas trinta dois minutos  através mensagem via pix  após mesma entrou conta verificar benefício dinheiro saído conta   nada disse ,madrugada
17,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-09-17 00:00:00.000,1970-01-01 11:04:00,OUTRO(S),MASCULINO,40.0,PREJUDICADO,que  dia 1609 vitima começou conversa dr  numero 0  falou debito vitima processo ajuizado busca apreesão  3 parcelas aberta  vitima ja feito acordo empresa resposavel  paschoalottto  credito dai pagar 2 parcela nao conseguiu entra contato ela  dr  suspeito  entrou contato  vitima achou mesma empresa  pagando assim boleto valor r 193898  destinatario  cpf 254335 40855                  nada declarar,manhã
19,FURTO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-08-27 00:00:00.000,1970-01-01 02:00:00,OUTRO(S),FEMININO,32.0,PREJUDICADO,condominio residencial   tomada devidas providências                 nada declarar,madrugada
21,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-08-24 00:00:00.000,1970-01-01 12:00:00,OUTRO(S),FEMININO,73.0,PREJUDICADO,genitora   brasileira  divorciada  aposentada  com73 anos  091951   portadora rg nº 01845853  cpf  residente rodovia palmiro paes barros  residencial country club   mt  vem apresentando ultimamente nítidos problemas mentais  razão denunciante agendou consulta psiquiatrica data 28204  cliniprev   serveras dificuldades visuais glacoma  sido alvo esquema criminoso altamente sofisticado cruel  enxerga bem celular pede qualquer pessoa perto auxiliala passar pix estelionatários  desde aproximadamente mês julho início contato estelionatarios  mãe sido contatada indivíduos fazem passar celebridades  especial elon musk  através aplicativos mensagens mensnger whatsapp  ligações telefônicas  criminosos  maestria manipulação psicológica  conseguiram estabelecer relacionamento confiança mãe  fazendoa acreditar romance virtual promessa receber grandes quantias dinheiro  carros  etc  conforme confessa  passar tempo  criminosos passaram exigir valores cada vez maiores  alegando diversas necessidades financeiras burocráticas  pressionar mãe  criminosos utilizaram diversas táticas  ameaças  chantagens falsas promessas  2208  diante insistência criminosos desesperação mãe atender pedidos  amigo família   farmacêutico   percebendo situação  solicitou funcionário farmácia atendesse  solicitou ajuda realizasse transferência bancária valor quase r 3000 conta indicada criminosos  print conversa   conforme princípio conversa empregado farmacêutico vítima  dia ontem 2407 farmaceutico atende mãe  ligou dizendo mãe desesperada dinheiro  9h manhã  explicou todo ocorrido noite anterior  funcionário havia sido coagido vitima ajudar fazer pix  ainda faltando complementar  pediu dinheiro farmaceutico  ante negativa  pediu vizinha rute  ajudou  visita vitima  mesma medicada dormir  nesse momento  conseguie ver muita situação alertante conversas documentos comprovantes pagamentos pessoas desconhecidas ofereciam premios  carros  dinheiro  faziam passar fedex  alfandega empresarios premios                  nada declarar,tarde
22,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-08-22 00:00:00.000,1970-01-01 10:27:00,OUTRO(S),MASCULINO,45.0,PREJUDICADO, 65000 todo dia 22 fizeram transferencia via pix tayanne oliveira costa valor r 59817   nao vitima fez                  nada declarar,manhã
23,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-05-10 00:00:00.000,1970-01-01 15:00:00,OUTRO(S),MASCULINO,54.0,PREJUDICADO,que  vitima sempre ajudava financeiramente sobrinho  cpff 044563 82147  morava porto velho ro  retornaria valor assim possivel  tempo suspeito falou dinheiro sido bloqueado totalmente  nao conseguiria pagar momento ate resolver  porem suspeito pediu valores vitima pudesse resolvido bloqueio  valores referente pagamento imposto dinheiro limpa nome receita federal  ai pegou advogado assessorar  advogado pegou contato vitima continou pedindo valores  advogado tambem conta bloqueada nao podia devolver valores  tudo vitima emprestou r 240000                  nada declarar ,tarde
27,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-06-13 00:00:00.000,1970-01-01 15:12:00,OUTRO(S),FEMININO,58.0,PREJUDICADO,numero 1 968 949 063  passando filha  filha vitima mora pais suspeito falou precisava pagar boletoaqui brasil porem morar nao compensaria dia  venceria hoje boleto  valor solicitado r 2300 vitima afazeres dia reparou fez pix pessoa chamada  cpf 118050 85646  apos vitima tentou ligar numero nao atendia ai deu conta nao filha pedindo devidas providências                 nada declarar,tarde
28,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-06-04 00:00:00.000,1970-01-01 10:00:00,OUTRO(S),FEMININO,38.0,PREJUDICADO,que  vitima possui 3 cartões quais sendo usando terceiro consentimento  nao reconhece compra  banco bmg passaram valor r 899  banco brasil passaram r 200  bloqueou cartao assim verificou devidas providências                 nada declarar,manhã
29,ESTELIONATO,CONSUMADO,CUIABA,PASCOAL RAMOS,OUTRO,2024-06-04 00:00:00.000,1970-01-01 12:00:00,OUTRO(S),MASCULINO,67.0,PREJUDICADO,que  dia 040624 vitima olhou extrato banco agibank vem descontado desde mes maio valor r 32312 aposentadoria  referente antecipação 13º salario recebe  nao conhecimento disso  vitima tirou extrato todas conta nunca caiu valor ele  nao sabe origirem desse valor  ja vem caindo golpes inss  ja processo aberto judicial reaver  tanto antecipação quanto emprestimo feito consentimento banco agibank                  nada declarar,tarde
30,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-06-04 00:00:00.000,1970-01-01 12:00:00,OUTRO(S),MASCULINO,49.0,PREJUDICADO,que  dia 042024 vitima negociando carreta valor r 110 vitima conversando intermediario  intermediario falando dono carreta passando vitima  passado pra vitima carreta ia fica valor r 70000 vitima passou valor avista intermediario  iria passar dono carreta valor  hora passar documento veicilo proprietario veiculo bloqueou transferencia nao ter recebido valor  vitima confiando iria repassado valor  fezo pix conta intermediario  conta 43417 ag 7526 banco next  pix 062563 19192                  nada declarar,tarde
