id_bo,prob_fiel,s_doc,aprovado
64,1.0,0.0,True
172,1.0,0.0,True
473,1.0,0.0,True
477,1.0,0.0,True
664,1.0,0.0,True
669,1.0,0.0,True
756,1.0,0.0,True
1065,1.0,0.0,True
1132,1.0,0.0,True
1347,1.0,0.0,True
1538,1.0,0.0,True
1550,1.0,0.0,True
1597,1.0,0.0,True
1739,1.0,0.0,True
1997,1.0,0.0,True
2207,1.0,0.0,True
2462,1.0,0.0,True
2685,1.0,0.0,True
2744,1.0,0.0,True
2757,1.0,0.0,True
2881,1.0,0.0,True
3376,1.0,0.0,True
3863,1.0,0.0,True
4196,1.0,0.0,True
4251,1.0,0.0,True
4254,1.0,0.0,True
4626,1.0,0.0,True
4684,1.0,0.0,True
4710,1.0,0.0,True
5105,1.0,0.0,True
5334,1.0,0.0,True
5417,1.0,0.0,True
5594,1.0,0.0,True
5656,1.0,0.0,True
5692,1.0,0.0,True
6151,1.0,0.0,True
6238,1.0,0.0,True
6393,1.0,0.0,True
6516,1.0,0.0,True
7037,1.0,0.0,True
7085,1.0,0.0,True
7362,1.0,0.0,True
7703,1.0,0.0,True
7832,1.0,0.0,True
7837,1.0,0.0,True
7985,1.0,0.0,True
8008,1.0,0.0,True
8307,1.0,0.0,True
8729,1.0,0.0,True
8976,1.0,0.0,True
8999,1.0,0.0,True
9269,1.0,0.0,True
9283,1.0,0.0,True
9312,1.0,0.0,True
9410,1.0,0.0,True
9431,1.0,0.0,True
9516,1.0,0.0,True
9744,1.0,0.0,True
9996,1.0,0.0,True
10236,1.0,0.0,True
10335,1.0,0.0,True
10691,1.0,0.0,True
10772,1.0,0.0,True
10797,1.0,0.0,True
10929,1.0,0.0,True
11000,1.0,0.0,True
11306,1.0,0.0,True
11453,1.0,0.0,True
11523,1.0,0.0,True
11530,1.0,0.0,True
11552,1.0,0.0,True
11575,1.0,0.0,True
11656,1.0,0.0,True
11851,1.0,0.0,True
12131,1.0,0.0,True
12313,1.0,0.0,True
12415,0.8,0.19999999999999996,False
12439,1.0,0.0,True
12449,1.0,0.0,True
12585,1.0,0.0,True
12910,1.0,0.0,True
13070,1.0,0.0,True
13164,1.0,0.0,True
13285,1.0,0.0,True
13534,1.0,0.0,True
13773,1.0,0.0,True
13926,1.0,0.0,True
13978,1.0,0.0,True
14041,1.0,0.0,True
14209,1.0,0.0,True
14212,0.8,0.19999999999999996,False
14258,1.0,0.0,True
14295,1.0,0.0,True
14299,1.0,0.0,True
14448,1.0,0.0,True
15007,1.0,0.0,True
15013,1.0,0.0,True
15268,1.0,0.0,True
15434,1.0,0.0,True
15579,1.0,0.0,True
