id_bo,sentenca,non_conformity_score
1997,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2025-03-15  
**HORA INICIAL DOS FATOS:** 1970-01-01 16:35:00  
**LOCAL:** CUIABA/JARDIM MARIANA  
**NATUREZA DA OCORRÊNCIA:** OUTRAS FRAUDES  
**RELATO SUCINTO DOS ACONTECIMENTOS:** O comunicante relatou ter recebido ligações e mensagens de pessoas que perguntavam sobre agiotagem e realização de empréstimos de valores.",0.0
1997,"Após negar a solicitação, o comunicante foi contactado por pessoas que visualizaram anúncios em redes sociais (Facebook) e marketplace, onde constavam seu nome e telefone.",0.0
1997,"Preocupado com possíveis fraudes, solicitou a remoção imediata dos anúncios e registro de ocorrência.",0.0
1578,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-05-15  
**HORA INICIAL DOS FATOS:** 12:13  
**LOCAL:** CUIABA/DUQUE DE CAXIAS – TIPO LOCAL: EM BANCO  
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO  
**RELATO SUCINTO DOS ACONTECIMENTOS:**  
A vítima relata que recebeu uma ligação de uma mulher, que afirmou que a editora Globo iria cancelar sua assinatura de revista.",0.0
1578,"A vítima, que possuía uma assinatura, acreditou que a editora solicitasse dinheiro para cancelamento e realizou diversos pagamentos via PIX ao longo de dias.",0.0
1578,"Os valores envolvidos incluem: 052024 (2394, 2), 2340, 48, 30, 78, 4, 77, 50 (Lara), 3, 5, 7 (Thabata Santana Oliveira), 5, 58 (Adrieli Fatima), 588, 48, 9 (Ria Silva Nascimento), 5779, 1599900 (Andreia Evangelista Alves).",0.0
1578,"Após o pagamento, o valor foi estornado, resultando em um saldo de R$ 1.213,00 às 14:37.",0.0
1578,"A vítima foi contactada e forneceu dados bancários, incluindo a agência 46965, conta corrente 10 0110, no Banco do Brasil.",0.0
1578,A vítima foi orientada a comparecer à delegacia especializada em estelionato para registrar a ocorrência e efetuar a representação.,0.0
1578,"A versão do caso é ""nada declarar"".",0.0
11656,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-09-25  
**HORA INICIAL DOS FATOS:** 1970-01-01 08:00:00  
**LOCAL:** CUIABA/RESIDENCIAL COXIPO  
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO  
**RELATO SUCINTO DOS ACONTECIMENTOS:** O comunicante relatou que seu número celular e conta Gmail foram clonados.",0.0
